"prodcode","CodingSystem","productname","gemscriptcode"
"10331","prodcode","Nuelin 60mg/5ml liquid (3M Health Care Ltd)","52860020"
"10360","prodcode","Aerocrom inhaler (Castlemead Healthcare Ltd)","72096020"
"10407","prodcode","Phyllocontin Paediatric Continus 100mg tablets (Napp Pharmaceuticals Ltd)","55546020"
"10432","prodcode","THEOPHYLLINE 300 MG SUP","01828007"
"10433","prodcode","Theophylline 60mg/5ml oral solution","66979020"
"10458","prodcode","Ventolin cr 4mg Tablet (Allen & Hanburys Ltd)","69801020"
"10561","prodcode","Aminophylline 250mg/ml injection","59203020"
"10597","prodcode","Tilade 2mg/dose Syncroner with spacer (Sanofi)","59165020"
"10723","prodcode","Theophylline 125mg/5ml syrup","66976020"
"10744","prodcode","THEOPHYLLINE 80 MG ELI","01827007"
"10812","prodcode","Zaditen 1mg capsules (Novartis Pharmaceuticals UK Ltd)","52325020"
"10813","prodcode","Ketotifen 1mg capsules","63894020"
"10831","prodcode","Biophylline 125mg/5ml Oral solution (Lorex Synthelabo Ltd)","58823020"
"10958","prodcode","SALBUTAMOL .25 MG INJ","03111007"
"10968","prodcode","Foradil 12microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd)","80411020"
"11046","prodcode","Ipratropium bromide with salbutamol 500micrograms + 2.5mg/2.5ml","79629020"
"11198","prodcode","Beclometasons 50 micrograms/actuation vortex inhaler","81505020"
"11307","prodcode","Salbutamol 100micrograms/dose / Beclometasone 50micrograms/dose inhaler","67874020"
"11410","prodcode","Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler","85662020"
"11478","prodcode","Fluticasone 2mg/2ml nebuliser liquid unit dose vials","57281020"
"11497","prodcode","Beclometasone 400micrograms/dose dry powder inhaler","77001020"
"11588","prodcode","Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free","71256020"
"11618","prodcode","Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free","71257020"
"11719","prodcode","Slo-Phyllin 60mg capsules (Merck Serono Ltd)","87005020"
"11732","prodcode","Beclometasone 50micrograms/dose breath actuated inhaler CFC free","86878020"
"11779","prodcode","Ipratropium bromide 40microgram inhalation powder capsules with device","72265020"
"11993","prodcode","Pro-vent 300mg Capsule (Wellcome Medical Division)","53612020"
"12042","prodcode","Ventolin cr 8mg Tablet (Allen & Hanburys Ltd)","69802020"
"12144","prodcode","Bambuterol 20mg tablets","74358020"
"12240","prodcode","Theophylline 300mg modified release capsules","66999020"
"12274","prodcode","Tedral Tablet (Parke-davis Research Laboratories)","58341020"
"12633","prodcode","Tilarin 1% Nasal spray suspension (Rhone-Poulenc Rorer Ltd)","79965020"
"12699","prodcode","Pecram 225mg Modified-release tablet (Novartis Consumer Health UK Ltd)","69697020"
"12808","prodcode","Fenoterol 100micrograms/dose / Ipratropium bromide 40micrograms/dose breath actuated inhaler","61826020"
"12822","prodcode","Salbutamol 2.5mg with ipratropium bromide 500micrograms/2.5ml unit dose nebuilser solution","80090020"
"12909","prodcode","Salbutamol 100micrograms/dose / Ipratropium 20micrograms/dose inhaler","80973020"
"12994","prodcode","Fluticasone 50micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free","71255020"
"13037","prodcode","Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler (Chiesi Ltd)","80128020"
"13038","prodcode","Pulvinal Salbutamol 200micrograms/dose dry powder inhaler (Chiesi Ltd)","83865020"
"13040","prodcode","Fluticasone propionate 250micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler","85661020"
"13181","prodcode","Easyhaler Salbutamol sulfate 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","88296020"
"13256","prodcode","Nedocromil 2mg/dose inhaler CFC free","89825020"
"13273","prodcode","Fluticasone propionate 100micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler","85660020"
"13290","prodcode","Clenil Modulite 100micrograms/dose inhaler (Chiesi Ltd)","91163020"
"13307","prodcode","Bricanyl 500microgram/ml Injection (AstraZeneca UK Ltd)","73103020"
"13365","prodcode","Berotec 5mg/ml Nebuliser liquid (Boehringer Ingelheim Ltd)","48392020"
"13529","prodcode","Amnivent-225 SR tablets (Ashbourne Pharmaceuticals Ltd)","62444020"
"13575","prodcode","Bambec 20mg tablets (AstraZeneca UK Ltd)","74354020"
"13757","prodcode","Tropiovent steripoule 250microgram/ml Nebuliser liquid (Ashbourne Pharmaceuticals Ltd)","86246020"
"13815","prodcode","Beclazone 100microgram/actuation Inhalation powder (Actavis UK Ltd)","82720020"
"13996","prodcode","Salamol 100microgram/inhalation Inhalation powder (Sandoz Ltd)","86269020"
"14294","prodcode","Qvar 50micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)","88500020"
"14306","prodcode","Formoterol 12micrograms/dose inhaler CFC free","89764020"
"14321","prodcode","Beclometasone 200micrograms/dose inhaler CFC free","91157020"
"14448","prodcode","Nedocromil sodium 1% nasal spray","79967020"
"14483","prodcode","Terbutaline 500micrograms/ml injection","73106020"
"14524","prodcode","Bdp 250microgram/actuation Spacehaler (Celltech Pharma Europe Ltd)","81511020"
"14525","prodcode","Salbutamol 100micrograms/inhalation vortex inhaler","81501020"
"14527","prodcode","Bambec 10mg tablets (AstraZeneca UK Ltd)","74353020"
"14561","prodcode","Salbutamol 400microgram / Beclometasone 200microgram inhalation powder capsules","67875020"
"14567","prodcode","Asmabec 250 Clickhaler (Focus Pharmaceuticals Ltd)","85881020"
"14590","prodcode","Asmabec 250microgram/actuation Spacehaler (Celltech Pharma Europe Ltd)","85797020"
"14603","prodcode","Sodium cromoglicate 5mg/dose inhaler with spacer","61057020"
"14700","prodcode","Budesonide 400micrograms/actuation inhaler","73583020"
"14736","prodcode","Pulvinal Beclometasone Dipropionate 400micrograms/dose dry powder inhaler (Chiesi Ltd)","80129020"
"14739","prodcode","Norphyllin SR 225mg tablets (Teva UK Ltd)","79433020"
"14757","prodcode","Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler (Chiesi Ltd)","80127020"
"14991","prodcode","Aminophylline 250mg/10ml injection","59202020"
"15025","prodcode","AMINOPHYLLINE 25 MG SUP","05367007"
"15153","prodcode","Theophylline 120mg / Ephedrine hydrochloride 11mg tablets","67002020"
"15284","prodcode","Slo-Phyllin 125mg capsules (Merck Serono Ltd)","87001020"
"15326","prodcode","Beclometasone 100micrograms/dose inhaler CFC free","91155020"
"15365","prodcode","Theophylline 10mg/5ml SF elixir","66981020"
"15409","prodcode","THEOPHYLLINE 3 MG SOL","03511007"
"15441","prodcode","FENOTEROL HYDROBROMIDE .5 % SOL","02581007"
"15483","prodcode","Bricanyl Oral solution (AstraZeneca UK Ltd)","53667020"
"15613","prodcode","Salbutamol 500micrograms/1ml solution for injection ampoules","69342020"
"15706","prodcode","Beclometasone 100 micrograms/actuation vortex inhaler","81506020"
"15765","prodcode","Sodium cromoglicate 5mg/inhalation inhaler & spacer","61063020"
"16018","prodcode","Mometasone 200micrograms/dose dry powder inhaler","80792020"
"16054","prodcode","Budesonide 200micrograms/actuation breath actuated powder inhaler","87972020"
"16148","prodcode","Clenil Modulite 250micrograms/dose inhaler (Chiesi Ltd)","91167020"
"16151","prodcode","Clenil Modulite 200micrograms/dose inhaler (Chiesi Ltd)","91165020"
"16158","prodcode","Clenil Modulite 50micrograms/dose inhaler (Chiesi Ltd)","91161020"
"16207","prodcode","Duovent UDVs nebuliser liquid 4ml (Boehringer Ingelheim Ltd)","51100020"
"16305","prodcode","Flixotide 2mg/2ml Nebules (GlaxoSmithKline UK Ltd)","57311020"
"16433","prodcode","Asmanex 200micrograms/dose Twisthaler (Merck Sharp & Dohme Ltd)","85228020"
"16577","prodcode","Easyhaler Salbutamol sulfate 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","88298020"
"16584","prodcode","Beclometasone 50micrograms/dose inhaler CFC free","91153020"
"16625","prodcode","Ventide Rotacaps (GlaxoSmithKline UK Ltd)","68202020"
"16994","prodcode","Aminophylline hydrate 350mg modified-release tablets","89379020"
"17002","prodcode","Aminophylline hydrate 225mg modified-release tablets","89373020"
"17140","prodcode","Aminophylline 200mg tablets","59197020"
"17185","prodcode","Ventolin 500micrograms/1ml solution for injection ampoules (GlaxoSmithKline UK Ltd)","52222020"
"17465","prodcode","Fluticasone 500micrograms/2ml nebuliser liquid unit dose vials","57282020"
"17590","prodcode","Asmanex 400micrograms/dose Twisthaler (Merck Sharp & Dohme Ltd)","80362020"
"17654","prodcode","Easyhaler Beclometasone 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","89688020"
"17670","prodcode","Easyhaler Budesonide 100micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","90421020"
"17696","prodcode","Ventmax SR 4mg capsules (Chiesi Ltd)","85765020"
"17874","prodcode","Monovent 1.5mg/5ml Oral solution (Lagap)","71393020"
"17875","prodcode","Terbutaline with guafenesin expectorant","66896020"
"18140","prodcode","Respontin 500micrograms/2ml Nebules (GlaxoSmithKline UK Ltd)","88630020"
"18288","prodcode","Choline theophyllinate 100mg tablets","61302020"
"18299","prodcode","Fenoterol 1.25mg/4ml / Ipratropium 500micrograms/4ml nebuliser liquid unit dose vials","80152020"
"18308","prodcode","AMINOPHYLLINE 100 MG SUP","06588007"
"18314","prodcode","Aerocrom Syncroner with spacer (Castlemead Healthcare Ltd)","72097020"
"18394","prodcode","Bdp 50microgram/actuation Spacehaler (Celltech Pharma Europe Ltd)","81509020"
"18421","prodcode","Respontin nebules 250microgram/ml Nebuliser liquid (Glaxo Wellcome UK Ltd)","86188020"
"18456","prodcode","Salbutamol 200microgram / Beclometasone 100microgram inhalation powder capsules","67876020"
"18484","prodcode","Ventide Paediatric Rotacaps (GlaxoSmithKline UK Ltd)","68203020"
"18537","prodcode","Budesonide 200microgram inhalation powder capsules","86508020"
"18622","prodcode","Salbulin 2mg Tablet (3M Health Care Ltd)","52875020"
"18848","prodcode","Qvar 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)","88502020"
"18968","prodcode","Salbutamol 5mg/5ml solution for infusion ampoules","69343020"
"18988","prodcode","Choline theophyllinate 62.5mg/5ml oral solution","61304020"
"19031","prodcode","Bdp 100microgram/actuation Spacehaler (Celltech Pharma Europe Ltd)","81510020"
"19121","prodcode","Beclometasone 100micrograms with Salbutamol 200micrograms inhalation capsules","64092020"
"19350","prodcode","AMINOPHYLLINE 62.5 MG SUP","05364007"
"19376","prodcode","Beclometasone 200micrograms with Salbutamol 400micrograms inhalation capsules","64091020"
"19389","prodcode","Asmabec 50microgram/actuation Spacehaler (Celltech Pharma Europe Ltd)","85795020"
"19401","prodcode","Beclometasone 250micrograms/actuation inhaler and compact spacer","79501020"
"20171","prodcode","AMINOPHYLLINE 180 MG SUP","00170007"
"20225","prodcode","AMINOPHYLLINE 500 MG INJ","00171007"
"20825","prodcode","Spacehaler BDP 250microgram/actuation Spacehaler (Celltech Pharma Europe Ltd)","84020020"
"20838","prodcode","Salbuvent 2mg Tablet (Pharmacia Ltd)","69346020"
"21005","prodcode","Beclometasone 250micrograms/dose inhaler CFC free","91159020"
"21102","prodcode","Salbutamol 2mg/5ml Oral solution (Lagap)","54277020"
"21224","prodcode","Alvesco 80 inhaler (Takeda UK Ltd)","88720020"
"21482","prodcode","Beclometasone 100micrograms/dose inhaler (Mylan Ltd)","58819020"
"21769","prodcode","Lasma 300mg Tablet (Pharmax Ltd)","53582020"
"21859","prodcode","Asmaven 100microgram Inhalation powder (Berk Pharmaceuticals Ltd)","57680020"
"22080","prodcode","AMINOPHYLLINE 20 ML INJ","03891007"
"22313","prodcode","Ventmax SR 8mg capsules (Chiesi Ltd)","85766020"
"22430","prodcode","Spacehaler salbutamol 100microgram/inhalation Spacehaler (Celltech Pharma Europe Ltd)","84022020"
"23269","prodcode","Maxivent 2.5mg/2.5ml nebuliser liquid unit dose Steripoule vials (Ashbourne Pharmaceuticals Ltd)","79058020"
"23567","prodcode","Respontin 250micrograms/1ml Nebules (GlaxoSmithKline UK Ltd)","88628020"
"23572","prodcode","Aminophylline sr 225mg Modified-release tablet (IVAX Pharmaceuticals UK Ltd)","61458020"
"23709","prodcode","Ipratropium 500micrograms/2ml nebuliser liquid Steri-Neb unit dose vials (Teva UK Ltd)","88636020"
"23741","prodcode","Novolizer budesonide 200microgram/actuation Pressurised inhalation (Meda Pharmaceuticals Ltd)","87974020"
"23961","prodcode","Ipratropium bromide 250microgram/ml Inhalation vapour (Galen Ltd)","56682020"
"24023","prodcode","Theodrox Tablet (3M Health Care Ltd)","51915020"
"24117","prodcode","AMINOPHYLLINE 300 MG SUP","05366007"
"24207","prodcode","AMINOPHYLLINE PAED 50 MG SUP","00168007"
"24380","prodcode","Sodium cromoglicate 1mg/dose / Salbutamol 100micrograms/dose inhaler with spacer","72093020"
"24418","prodcode","Biophylline 350mg Tablet (Lorex Synthelabo Ltd)","58824020"
"24674","prodcode","Biophylline 500mg Tablet (Lorex Synthelabo Ltd)","58825020"
"24898","prodcode","Spacehaler BDP 100microgram/actuation Spacehaler (Celltech Pharma Europe Ltd)","84019020"
"25022","prodcode","AMINOPHYLLINE 150 MG SUP","00181007"
"25119","prodcode","Tilade 2mg/dose inhaler CFC free (Sanofi)","89827020"
"25125","prodcode","Aminophylline 360mg suppositories","71060020"
"25204","prodcode","Beclometasone 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd)","60177020"
"25339","prodcode","Maxivent 5mg/2.5ml nebuliser liquid unit dose Steripoule vials (Ashbourne Pharmaceuticals Ltd)","79059020"
"25784","prodcode","Atimos Modulite 12micrograms/dose inhaler (Chiesi Ltd)","89766020"
"25937","prodcode","AMINOPHYLLINE INTRAMUSCULAR 500 MG INJ","00169007"
"26063","prodcode","Beclometasone 100micrograms/dose inhaler (Teva UK Ltd)","67076020"
"26616","prodcode","Ipratropium bromide with fenoterol hydrobromide 0micrograms + 100micrograms/actuation","63620020"
"26860","prodcode","Theophylline 120mg / Ephedrine sulfate 15mg tablets","67005020"
"26873","prodcode","Cobutolin 2mg Tablet (Actavis UK Ltd)","58029020"
"26987","prodcode","Bricanyl Tablet (AstraZeneca UK Ltd)","48456020"
"27188","prodcode","Easyhaler Budesonide 200micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","90423020"
"27249","prodcode","Do-Do ChestEze tablets (Novartis Consumer Health UK Ltd)","73418020"
"27340","prodcode","Salbuvent 0.5mg/ml Injection (Pharmacia Ltd)","70316020"
"27505","prodcode","Ipratropium bromide with fenoterol hydrobromide 40micrograms + 100micrograms/actuation","63621020"
"27593","prodcode","AMINOPHYLLINE 350 MG SUP","05369007"
"27679","prodcode","Beclometasone 100microgram/actuation Pressurised inhalation (Approved Prescription Services Ltd)","61524020"
"27842","prodcode","AMINOPHYLLINE 2 ML INJ","03419007"
"27944","prodcode","Tedral Oral solution (Parke-davis Research Laboratories)","58342020"
"28073","prodcode","Beclometasone 250microgram/actuation Pressurised inhalation (Approved Prescription Services Ltd)","61525020"
"28241","prodcode","Aminophylline 250mg/10ml solution for injection Minijet pre-filled syringes (UCB Pharma Ltd)","51459020"
"28508","prodcode","Salbutamol 100microgram/inhalation Inhalation powder (IVAX Pharmaceuticals UK Ltd)","54287020"
"28577","prodcode","Ventolin 50microgram/ml Injection (Allen & Hanburys Ltd)","52223020"
"28640","prodcode","Beclometasone 100microgram/actuation Inhalation powder (Actavis UK Ltd)","59873020"
"28761","prodcode","Spacehaler BDP 50microgram/actuation Spacehaler (Celltech Pharma Europe Ltd)","84018020"
"28881","prodcode","Salbutamol 2mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)","55767020"
"29267","prodcode","Salbuvent 4mg Tablet (Pharmacia Ltd)","69347020"
"29273","prodcode","Aminophylline 225mg Modified-release tablet (Hillcross Pharmaceuticals Ltd)","60164020"
"29325","prodcode","Beclometasone 250micrograms/dose inhaler (Mylan Ltd)","58817020"
"29475","prodcode","BECLOMETHASONE DIPROPIONATE .02 ML LOT","05303007"
"30118","prodcode","Salbutamol 100micrograms/dose inhaler CFC free (Teva UK Ltd)","61514020"
"30204","prodcode","Salbutamol 200micrograms inahalation capsules","53422020"
"30210","prodcode","Beclometasone 250micrograms/dose inhaler (Teva UK Ltd)","67080020"
"30212","prodcode","Salbutamol cyclohaler","53424020"
"30229","prodcode","Ipratropium bromide 250microgram/ml Nebuliser liquid (Galen Ltd)","69142020"
"30230","prodcode","Salbutamol 100micrograms/actuation breath actuated inhaler","79713020"
"30238","prodcode","Beclometasone 50microgram/actuation Pressurised inhalation (Approved Prescription Services Ltd)","61523020"
"30240","prodcode","Aerolin autohaler 100microgram/actuation Pressurised inhalation (3M Health Care Ltd)","68160020"
"30596","prodcode","Aminophylline 225mg Modified-release tablet (Actavis UK Ltd)","56813020"
"30649","prodcode","Easyhaler Budesonide 400micrograms/dose dry powder inhaler (Orion Pharma (UK) Ltd)","90425020"
"31082","prodcode","Salbuvent 5mg/ml Respirator solution (Pharmacia Ltd)","70320020"
"31231","prodcode","BECLOMETHASONE DIPROPRIONATE .5 % CRE","05302007"
"31774","prodcode","Beclometasone 50micrograms/dose inhaler (Mylan Ltd)","58818020"
"31845","prodcode","Salapin 2mg/5ml syrup (Pinewood Healthcare)","58101020"
"31933","prodcode","Salbutamol 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd)","50543020"
"32050","prodcode","Salbutamol 400 Cyclocaps (Teva UK Ltd)","63930020"
"32102","prodcode","Salbutamol 4mg tablets (A A H Pharmaceuticals Ltd)","50544020"
"32874","prodcode","Beclometasone 50microgram/actuation Inhalation powder (Actavis UK Ltd)","59872020"
"32893","prodcode","THEOPHYLLINE 100MG/LYSINE 74MG MG TAB","01829007"
"33089","prodcode","Salbutamol 100micrograms/dose inhaler (Kent Pharmaceuticals Ltd)","63418020"
"33258","prodcode","Beclometasone 250micrograms/dose inhaler (A A H Pharmaceuticals Ltd)","60178020"
"33373","prodcode","Salbutamol 200 Cyclocaps (Teva UK Ltd)","63926020"
"33588","prodcode","Salbutamol 100micrograms/dose inhaler (Mylan Ltd)","60625020"
"33817","prodcode","Salbutamol 100micrograms/dose inhaler CFC free (Actavis UK Ltd)","63650020"
"33849","prodcode","Beclometasone 100microgram/actuation Inhalation powder (Neo Laboratories Ltd)","63536020"
"34018","prodcode","Salbutamol 5mg/2.5ml Nebuliser liquid (Galen Ltd)","59499020"
"34029","prodcode","Salbutamol 400micrograms inahalation capsules","53423020"
"34134","prodcode","Aerolin 400 100microgram/actuation Inhalation powder (3M Health Care Ltd)","68156020"
"34162","prodcode","Salbutamol 2.5mg/2.5ml Nebuliser liquid (Galen Ltd)","59498020"
"34310","prodcode","Salbutamol 100micrograms/dose inhaler CFC free (A A H Pharmaceuticals Ltd)","61776020"
"34311","prodcode","Salbutamol 100microgram/inhalation Inhalation powder (Berk Pharmaceuticals Ltd)","50518020"
"34315","prodcode","Beclometasone 250microgram/actuation Inhalation powder (Actavis UK Ltd)","59874020"
"34428","prodcode","Beclometasone 50microgram/actuation Inhalation powder (Neo Laboratories Ltd)","63531020"
"34618","prodcode","Salbutamol 2mg tablets (Actavis UK Ltd)","50533020"
"34619","prodcode","Salbutamol 100microgram/inhalation Inhalation powder (Kent Pharmaceuticals Ltd)","62351020"
"34702","prodcode","Salbutamol 100microgram/inhalation Inhalation powder (C P Pharmaceuticals Ltd)","50525020"
"34739","prodcode","Beclometasone 50micrograms/dose inhaler (Teva UK Ltd)","67073020"
"34794","prodcode","Beclometasone 200micrograms/dose inhaler (A A H Pharmaceuticals Ltd)","65723020"
"34859","prodcode","Beclometasone 250microgram/actuation Inhalation powder (Neo Laboratories Ltd)","63539020"
"34919","prodcode","Beclometasone 50micrograms/dose inhaler (A A H Pharmaceuticals Ltd)","60176020"
"34995","prodcode","Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd)","92697020"
"35000","prodcode","Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd)","92699020"
"35011","prodcode","Tiotropium bromide 18microgram inhalation powder capsules","92695020"
"35014","prodcode","Tiotropium bromide 18microgram inhalation powder capsules with device","92693020"
"35510","prodcode","Budesonide 200micrograms/dose dry powder inhalation cartridge with device","92711020"
"35522","prodcode","Bricanyl 500micrograms/1ml solution for injection ampoules (AstraZeneca UK Ltd)","92683020"
"35557","prodcode","Ipramol nebuliser solution 2.5ml Steri-Neb unit dose vials (Teva UK Ltd)","91913020"
"35602","prodcode","Budesonide 200micrograms/dose dry powder inhalation cartridge","92719020"
"35631","prodcode","Budelin Novolizer 200micrograms/dose inhalation powder (Meda Pharmaceuticals Ltd)","92727020"
"35724","prodcode","Budelin Novolizer 200micrograms/dose inhalation powder refill (Meda Pharmaceuticals Ltd)","92729020"
"35744","prodcode","Bricanyl 2.5mg/5ml solution for injection ampoules (AstraZeneca UK Ltd)","92685020"
"35862","prodcode","Terbutaline 500micrograms/1ml solution for injection ampoules","92677020"
"37612","prodcode","Terbutaline 5mg/2ml nebuliser liquid unit dose vials (Galen Ltd)","59149020"
"37615","prodcode","Sodium cromoglicate 1mg/inhalation inhaler","61056020"
"37791","prodcode","Ipratropium bromide 250microgram/ml","63617020"
"38097","prodcode","Salbutamol cyclocaps 200microgram Inhalation powder (DuPont Pharmaceuticals Ltd)","56098020"
"38120","prodcode","Theophylline 500mg modified release tablets","72615020"
"38416","prodcode","Salbutamol cyclocaps 400microgram Inhalation powder (DuPont Pharmaceuticals Ltd)","56099020"
"38419","prodcode","Terbutaline 1.5mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)","63484020"
"40177","prodcode","Ipratropium bromide 250microgram/ml Nebuliser liquid (Hillcross Pharmaceuticals Ltd)","60390020"
"40655","prodcode","Salbuvent 100microgram/actuation Inhalation powder (Pharmacia Ltd)","69361020"
"40709","prodcode","Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd)","73590020"
"41269","prodcode","Beclometasone 400 Cyclocaps (Teva UK Ltd)","63923020"
"41412","prodcode","Beclometasone 400micrograms/actuation inhaler","69256020"
"41549","prodcode","Salbutamol 2mg Tablet (C P Pharmaceuticals Ltd)","50526020"
"41691","prodcode","Salbutamol 2mg/5ml oral solution sugar free (Sandoz Ltd)","66781020"
"41832","prodcode","Monovent 1.5mg/5ml syrup (Sandoz Ltd)","87105020"
"42497","prodcode","Salbutamol 8mg tablet","68262020"
"42511","prodcode","Aminophylline 25mg/ml Injection (Celltech Pharma Europe Ltd)","48469020"
"42910","prodcode","Aminophylline 250mg/10ml solution for injection ampoules (Martindale Pharmaceuticals Ltd)","48283020"
"44713","prodcode","Salbutamol 100microgram/inhalation Inhalation powder (Celltech Pharma Europe Ltd)","50537020"
"45863","prodcode","Salbutamol 5mg/2.5ml Nebuliser liquid (Generics (UK) Ltd)","60627020"
"46157","prodcode","Beclometasone 200 Cyclocaps (Teva UK Ltd)","63918020"
